state_code,state_name,region,nationality,year,enrolments,state_total,rank_in_state,share_of_state
ACT,Australian Capital Territory,North-East Asia,China,2025,8487,21714,1,0.3908538270240398
ACT,Australian Capital Territory,Southern and Central Asia,India,2025,3649,21714,2,0.16804826379294466
ACT,Australian Capital Territory,Southern and Central Asia,Nepal,2025,2168,21714,3,0.09984341899235516
ACT,Australian Capital Territory,Southern and Central Asia,Bhutan,2025,1347,21714,4,0.06203371096988118
ACT,Australian Capital Territory,South-East Asia,Philippines,2025,654,21714,5,0.030118817352859907
ACT,Australian Capital Territory,South-East Asia,Vietnam,2025,599,21714,6,0.027585889288016946
ACT,Australian Capital Territory,Southern and Central Asia,Pakistan,2025,514,21714,7,0.023671364096896012
ACT,Australian Capital Territory,South-East Asia,Indonesia,2025,454,21714,8,0.020908169844340057
ACT,Australian Capital Territory,Southern and Central Asia,Bangladesh,2025,386,21714,9,0.017776549691443308
ACT,Australian Capital Territory,North-East Asia,"Korea, Republic of (South)",2025,255,21714,10,0.011743575573362808
ACT,Australian Capital Territory,South-East Asia,Malaysia,2025,240,21714,11,0.011052777010223818
ACT,Australian Capital Territory,North-East Asia,Hong Kong SAR,2025,206,21714,12,0.009486966933775444
ACT,Australian Capital Territory,North-East Asia,Taiwan,2025,206,21714,13,0.009486966933775444
ACT,Australian Capital Territory,Southern and Central Asia,Sri Lanka,2025,193,21714,14,0.008888274845721654
ACT,Australian Capital Territory,North-East Asia,Japan,2025,166,21714,15,0.007644837432071475
ACT,Australian Capital Territory,North-West Europe,United Kingdom,2025,137,21714,16,0.006309293543336096
ACT,Australian Capital Territory,South-East Asia,Thailand,2025,135,21714,17,0.006217187068250898
ACT,Australian Capital Territory,Americas,Colombia,2025,132,21714,18,0.0060790273556231
ACT,Australian Capital Territory,South-East Asia,Singapore,2025,106,21714,19,0.00488164317951552
ACT,Australian Capital Territory,Americas,United States of America,2025,92,21714,20,0.004236897853919131
NSW,New South Wales,North-East Asia,China,2025,106094,403139,1,0.26316977518920276
NSW,New South Wales,Southern and Central Asia,Nepal,2025,55279,403139,2,0.1371214395034963
NSW,New South Wales,Southern and Central Asia,India,2025,44632,403139,3,0.11071119390582404
NSW,New South Wales,South-East Asia,Philippines,2025,16420,403139,4,0.04073036843371641
NSW,New South Wales,South-East Asia,Indonesia,2025,16361,403139,5,0.04058401692716408
NSW,New South Wales,Southern and Central Asia,Bangladesh,2025,15762,403139,6,0.03909817705555652
NSW,New South Wales,South-East Asia,Vietnam,2025,15624,403139,7,0.03875586336226463
NSW,New South Wales,South-East Asia,Thailand,2025,13600,403139,8,0.03373526252731688
NSW,New South Wales,Americas,Brazil,2025,13028,403139,9,0.03231639707396208
NSW,New South Wales,Southern and Central Asia,Pakistan,2025,12549,403139,10,0.031128221283477905
NSW,New South Wales,Americas,Colombia,2025,12281,403139,11,0.030463438168969015
NSW,New South Wales,North-East Asia,"Korea, Republic of (South)",2025,8025,403139,12,0.019906285425126322
NSW,New South Wales,North-East Asia,Mongolia,2025,6513,403139,13,0.01615571800297168
NSW,New South Wales,South-East Asia,Malaysia,2025,4653,403139,14,0.011541924745559224
NSW,New South Wales,North-East Asia,Taiwan,2025,4504,403139,15,0.011172325178164355
NSW,New South Wales,North-East Asia,Hong Kong SAR,2025,4118,403139,16,0.010214839050550803
NSW,New South Wales,Americas,United States of America,2025,3955,403139,17,0.009810512007024872
NSW,New South Wales,North-East Asia,Japan,2025,3660,403139,18,0.009078754474263219
NSW,New South Wales,Oceania and Antarctica,Fiji,2025,3355,403139,19,0.00832219160140795
NSW,New South Wales,Sub-Saharan Africa,Kenya,2025,2972,403139,20,0.007372147075822483
NT,Northern Territory,Southern and Central Asia,Nepal,2025,1557,5967,1,0.2609351432880845
NT,Northern Territory,Southern and Central Asia,India,2025,1177,5967,2,0.19725155019272667
NT,Northern Territory,Southern and Central Asia,Bangladesh,2025,682,5967,3,0.114295290765879
NT,Northern Territory,South-East Asia,Philippines,2025,553,5967,4,0.09267638679403385
NT,Northern Territory,South-East Asia,Vietnam,2025,402,5967,5,0.06737053795877325
