country,enrolments
China," 227,460 "
India," 182,369 "
Nepal," 89,530 "
Philippines," 47,666 "
Vietnam," 45,356 "
Colombia," 39,867 "
Bangladesh," 32,525 "
Pakistan," 31,801 "
Indonesia," 31,579 "
Brazil," 30,345 "
Thailand," 29,038 "
Sri Lanka," 25,627 "
Malaysia," 17,798 "
"Korea, Republic of (South)"," 17,229 "
Bhutan," 15,483 "
Taiwan," 15,260 "
Japan," 14,179 "
Hong Kong SAR," 13,226 "
Kenya," 11,897 "
Mongolia," 8,455 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
